,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Share Capital,411,413,468,470,474,477,479,513,514,564,613,614
Reserves,"18,484","22,269","32,690","37,926","44,475","53,082","55,901","63,694","67,288","85,776","102,981","117,647"
Borrowings,"215,434","254,059","296,254","333,280","406,638","472,150","527,437","611,425","711,996","797,337","850,551","1,020,692"
Other Liabilities,"8,238","8,675","11,145","14,674","15,656","20,678","27,644","28,071","34,248","44,194","46,859","56,576"
Total Liabilities,"242,567","285,417","340,558","386,350","467,243","546,387","611,462","703,703","814,046","927,872","1,001,005","1,195,529"
Fixed Assets,"2,270","2,204","2,245","2,346","2,447","3,358","3,518","3,697","3,842","3,912","4,501","4,753"
CWIP,23,80,142,102,105,216,292,352,288,483,118,215
Investments,"71,788","92,921","113,378","113,093","118,527","131,399","129,018","153,037","174,056","155,282","225,336","274,608"
Other Assets,"168,486","190,211","224,792","270,810","346,164","411,414","478,633","546,618","635,860","768,196","771,050","915,952"
Total Assets,"242,567","285,417","340,558","386,350","467,243","546,387","611,462","703,703","814,046","927,872","1,001,005","1,195,529"
