,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Share Capital,547,575,597,643,666,817,"1,055","1,744","2,760","3,278","3,278","4,104"
Reserves,"17,089","20,839","23,874","30,131","31,857","32,528","32,574","35,013","44,892","41,795","46,703","52,418"
Borrowings,"321,581","351,531","418,500","527,123","574,581","566,826","581,844","566,595","566,820","597,139","661,562","656,802"
Other Liabilities,"13,801","14,633","13,351","20,126","18,046","16,457","16,553","11,833","16,409","20,805","21,244","29,807"
Total Liabilities,"353,018","387,578","456,323","578,022","625,150","616,628","632,026","615,184","630,881","663,017","732,786","743,131"
Fixed Assets,"2,384","2,740","2,807","5,678","5,802","8,382","8,349","8,192","8,799","8,765","8,637","9,570"
CWIP,116,60,94,143,113,191,197,158,200,293,364,286
Investments,"86,677","88,057","96,388","116,490","123,196","122,621","130,751","140,321","150,905","162,323","191,693","180,274"
Other Assets,"263,842","296,722","357,034","455,712","496,040","485,435","492,729","466,513","470,977","491,636","532,092","553,001"
Total Assets,"353,018","387,578","456,323","578,022","625,150","616,628","632,026","615,184","630,881","663,017","732,786","743,131"
