,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Share Capital,171,171,171,171,171,344,345,394,397,399,399,421
Reserves,"4,847","5,421","6,093","6,690","7,529","7,720","8,607","11,880","13,101","14,424","16,105","18,835"
Borrowings,"44,877","53,201","62,850","65,497","73,216","84,407","104,008","124,299","143,585","164,780","184,457","201,265"
Other Liabilities,"1,448","1,751","1,879","2,286","1,993","2,234","2,527","2,640","3,469","3,751","4,006","5,721"
Total Liabilities,"51,343","60,544","70,993","74,643","82,909","94,706","115,486","139,214","160,552","183,353","204,967","226,241"
Fixed Assets,293,337,412,414,446,508,477,452,462,477,504,643
CWIP,0,0,2,23,27,16,15,10,18,28,13,29
Investments,"14,408","17,102","20,854","23,839","20,349","24,920","27,912","30,595","31,676","35,715","36,732","39,065"
Other Assets,"36,642","43,105","49,724","50,368","62,087","69,262","87,081","108,158","128,397","147,133","167,717","186,504"
Total Assets,"51,343","60,544","70,993","74,643","82,909","94,706","115,486","139,214","160,552","183,353","204,967","226,241"
