,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Share Capital,465,469,476,480,501,506,513,519,545,548,551,555
Reserves,"25,121","29,741","36,167","43,687","62,653","73,798","91,281","109,080","153,128","175,810","209,259","246,772"
Borrowings,"222,938","272,874","335,588","416,677","509,762","649,587","741,550","944,817","1,080,235","1,333,041","1,511,418","1,784,970"
Other Liabilities,"29,439","37,971","35,492","42,776","34,181","38,321","59,000","48,770","58,898","71,430","78,279","90,639"
Total Liabilities,"277,963","341,055","407,723","503,620","607,097","762,212","892,344","1,103,186","1,292,806","1,580,830","1,799,507","2,122,934"
Fixed Assets,"2,201","2,378","2,773","3,026","3,225","3,667","4,000","4,008","4,369","4,776","5,248","6,432"
CWIP,0,0,0,0,0,0,0,0,0,0,0,0
Investments,"70,277","96,795","110,960","119,571","149,454","193,634","210,777","238,461","289,446","389,305","438,823","449,264"
Other Assets,"205,485","241,882","293,989","381,023","454,417","564,912","677,567","860,717","998,991","1,186,750","1,355,435","1,667,238"
Total Assets,"277,963","341,055","407,723","503,620","607,097","762,212","892,344","1,103,186","1,292,806","1,580,830","1,799,507","2,122,934"
