,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Share Capital,985,"1,278","1,333","1,604","1,604","2,059","2,059","3,084","7,736","10,381","10,752","10,752"
Reserves,"13,585","18,113","19,869","22,028","22,771","26,000","21,204","18,824","30,610","24,455","26,876","31,819"
Borrowings,"232,014","263,722","292,699","295,719","321,355","335,679","324,580","310,962","272,478","258,963","246,568","247,195"
Other Liabilities,"6,974","7,063","8,765","9,599","10,314","11,537","14,646","18,039","10,287","6,901","14,457","12,590"
Total Liabilities,"253,558","290,176","322,666","328,950","356,044","375,275","362,488","350,909","321,111","300,699","298,653","302,356"
Fixed Assets,"2,992","3,017","2,928","2,978","3,026","7,041","6,893","6,350","7,842","7,719","7,402","9,587"
CWIP,68,26,18,22,54,481,541,502,468,488,471,400
Investments,"68,034","82,829","98,433","103,419","97,347","92,810","93,075","91,848","93,328","81,996","81,471","83,475"
Other Assets,"182,464","204,304","221,288","222,531","255,617","274,943","261,980","252,208","219,474","210,496","209,309","208,894"
Total Assets,"253,558","290,176","322,666","328,950","356,044","375,275","362,488","350,909","321,111","300,699","298,653","302,356"
