Profit & Loss account of Bank Of Baroda (in Rs. Cr.),Mar 22,Mar 21,Mar 20,Mar 19,Mar 18,
,12 mths,12 mths,12 mths,12 mths,12 mths,
INCOME,,,,,,
Interest / Discount on Advances / Bills,"49,278.53","50,052.12","54,115.77","34,388.97","29,069.82",
Income from Investments,"17,617.21","17,077.12","18,097.36","12,786.72","10,420.16",
Interest on Balance with RBI and Other Inter-Bank funds,"1,015.17","1,450.92","1,768.73","1,735.20","2,414.79",
Others,"1,969.87","1,914.90","2,001.79",859.72,"1,743.77",
Total Interest Earned,"69,880.78","70,495.06","75,983.66","49,770.61","43,648.54",
Other Income,"11,483.95","12,364.44","10,317.32","6,294.49","6,657.15",
Total Income,"81,364.73","82,859.50","86,300.98","56,065.10","50,305.69",
EXPENDITURE,,,,,,
Interest Expended,"37,259.44","41,686.04","48,532.37","31,290.30","28,126.77",
Payments to and Provisions for Employees,"11,978.84","11,445.53","8,769.52","5,039.13","4,606.87",
Depreciation,"1,389.72","1,314.54","1,659.65",910.38,863.08,
Operating Expenses (excludes Employee Cost & Depreciation),"8,347.87","7,783.58","7,648.02","5,338.47","4,703.42",
Total Operating Expenses,"21,716.44","20,543.66","18,077.19","11,287.98","10,173.37",
Provision Towards Income Tax,"2,114.16","4,727.05","-2,348.29",264.63,"1,664.24",
Provision Towards Deferred Tax,0.00,0.00,0.00,0.00,"-2,023.17",
Other Provisions and Contingencies,"13,002.41","15,073.80","21,493.52","12,788.67",0.00,
Total Provisions and Contingencies,"15,116.57","19,800.85","19,145.23","13,053.30","14,437.37",
Total Expenditure,"74,092.45","82,030.54","85,754.79","55,631.58","52,737.51",
Net Profit / Loss for The Year,"7,272.28",828.96,546.19,433.52,"-2,431.81",
Net Profit / Loss After EI & Prior Year Items,"7,272.28",828.96,546.19,433.52,"-2,431.81",
Profit / Loss Brought Forward,0.00,0.00,0.00,0.00,0.00,
Total Profit / Loss available for Appropriations,"7,272.28",828.96,546.19,433.52,"-2,431.81",
APPROPRIATIONS,,,,,,
Transfer To / From Statutory Reserve,"1,829.27",207.22,145.85,108.38,0.00,
Transfer To / From Capital Reserve,523.35,676.90,822.25,210.36,0.00,
Transfer To / From Revenue And Other Reserves,0.00,0.00,0.00,0.00,"-2,431.81",
Dividend and Dividend Tax for The Previous Year,0.00,0.00,0.00,0.00,0.00,
Equity Share Dividend,"1,473.84",0.00,0.00,0.00,0.00,
Tax On Dividend,0.00,0.00,0.00,0.00,0.00,
Balance Carried Over To Balance Sheet,0.00,0.00,0.00,0.00,0.00,
Total Appropriations,"7,272.28",828.96,546.19,433.52,"-2,431.81",
OTHER INFORMATION,,,,,,
EARNINGS PER SHARE,,,,,,
Basic EPS (Rs.),14.06,1.78,1.36,1.64,-10.53,
Diluted EPS (Rs.),14.06,1.78,1.36,1.41,-10.53,
DIVIDEND PERCENTAGE,,,,,,
Equity Dividend Rate (%),143.00,0.00,0.00,0.00,0.00,
Yearly Results of Bank Of Baroda (in Rs. Cr.),Mar '22,Mar '21,Mar '20,Mar '19,Mar '18,
Interest Earned,,,,,,
(a) Int. /Disc. on Adv/Bills,"49,278.53","50,052.12","54,115.77","34,388.97","29,069.82",
(b) Income on Investment,"17,617.21","17,077.12","18,097.36","12,786.72","10,420.16",
(c) Int. on balances With RBI,"1,015.17","1,450.92","1,768.73","1,735.20","2,414.79",
(d) Others,"1,969.87","1,914.90","2,001.79","1,063.22","1,743.77",
Other Income,"11,483.95","12,364.44","10,317.33","6,090.99","6,657.15",
EXPENDITURE,,,,,,
Interest Expended,"37,259.44","41,686.04","48,532.37","31,290.30","28,126.77",
Employees Cost,"11,978.84","11,445.53","8,769.52","5,039.13","4,606.87",
