Profit & Loss account of IDBI Bank (in Rs. Cr.),Mar 22,Mar 21,Mar 20,Mar 19,Mar 18,
,12 mths,12 mths,12 mths,12 mths,12 mths,
INCOME,,,,,,
Interest / Discount on Advances / Bills,"12,031.98","11,821.17","13,101.51","14,380.90","15,693.55",
Income from Investments,"4,629.01","5,160.62","5,780.64","6,443.22","5,899.23",
Interest on Balance with RBI and Other Inter-Bank funds,669.96,644.32,453.55,189.37,232.84,
Others,964.34,"2,305.65","1,489.44","1,057.75","1,200.91",
Total Interest Earned,"18,295.30","19,931.76","20,825.14","22,071.24","23,026.53",
Other Income,"4,689.90","4,625.18","4,470.33","3,300.30","7,008.88",
Total Income,"22,985.19","24,556.93","25,295.48","25,371.53","30,035.41",
EXPENDITURE,,,,,,
Interest Expended,"9,132.80","11,414.21","13,847.30","16,165.62","17,386.21",
Payments to and Provisions for Employees,"3,105.09","3,089.02","3,230.93","2,191.20","1,781.08",
Depreciation,413.28,392.93,390.68,366.44,372.73,
Operating Expenses (excludes Employee Cost & Depreciation),"2,838.86","2,570.00","2,714.55","2,596.15","2,590.88",
Total Operating Expenses,"6,357.23","6,051.95","6,336.16","5,153.79","4,744.69",
Provision Towards Income Tax,47.00,0.00,0.00,0.00,0.00,
Provision Towards Deferred Tax,"1,122.00","1,308.68","3,919.90","-7,710.87","-4,354.61",
Other Provisions and Contingencies,"3,886.89","4,422.64","14,079.44","26,879.29",0.00,
Total Provisions and Contingencies,"5,055.89","5,731.32","17,999.34","19,168.42","16,142.44",
Total Expenditure,"20,545.92","23,197.47","38,182.81","40,487.83","38,273.33",
Net Profit / Loss for The Year,"2,439.27","1,359.46","-12,887.33","-15,116.29","-8,237.92",
Net Profit / Loss After EI & Prior Year Items,"2,439.27","1,359.46","-12,887.33","-15,116.29","-8,237.92",
Profit / Loss Brought Forward,"-45,396.18","-45,586.17","-32,512.93","-17,164.01","-8,492.39",
Total Profit / Loss available for Appropriations,"-42,956.91","-44,226.70","-45,400.26","-32,280.30","-16,730.31",
APPROPRIATIONS,,,,,,
Transfer To / From Statutory Reserve,609.82,339.87,0.00,0.00,-544.60,
Transfer To / From Capital Reserve,157.40,285.00,185.91,232.62,978.30,
Transfer To / From Revenue And Other Reserves,0.00,0.00,0.00,0.00,0.00,
Dividend and Dividend Tax for The Previous Year,0.00,0.00,0.00,0.00,0.00,
Equity Share Dividend,0.00,0.00,0.00,0.00,0.00,
Tax On Dividend,0.00,0.00,0.00,0.00,0.00,
Balance Carried Over To Balance Sheet,"-43,724.13","-45,396.18","-45,586.17","-32,512.93","-17,164.01",
Total Appropriations,"-42,956.91","-44,226.70","-45,400.26","-32,280.30","-16,730.31",
OTHER INFORMATION,,,,,,
EARNINGS PER SHARE,,,,,,
Basic EPS (Rs.),2.27,1.30,-14.48,-30.48,-34.45,
Diluted EPS (Rs.),2.27,1.30,-14.48,-30.48,-34.45,
DIVIDEND PERCENTAGE,,,,,,
Equity Dividend Rate (%),0.00,0.00,0.00,0.00,0.00,
Yearly Results of IDBI Bank (in Rs. Cr.),Mar '22,Mar '21,Mar '20,Mar '19,Mar '18,
Interest Earned,,,,,,
(a) Int. /Disc. on Adv/Bills,"12,031.98","11,821.17","13,101.51","14,380.90","15,693.55",
(b) Income on Investment,"4,629.01","5,160.62","5,780.64","6,443.22","5,899.23",
(c) Int. on balances With RBI,669.96,644.32,453.55,189.36,232.84,
(d) Others,964.34,"2,305.65","1,489.44","1,057.75","1,200.91",
Other Income,"4,689.90","4,625.17","4,470.33","3,300.30","7,008.88",
EXPENDITURE,,,,,,
Interest Expended,"9,132.80","11,414.21","13,847.30","16,165.62","17,386.21",
