Profit & Loss account of IDFC First Bank (in Rs. Cr.),Mar 22,Mar 21,Mar 20,Mar 19,Mar 18,
,12 mths,12 mths,12 mths,12 mths,12 mths,
INCOME,,,,,,
Interest / Discount on Advances / Bills,"14,174.01","12,632.98","11,634.54","7,825.54","4,722.95",
Income from Investments,"2,615.37","3,039.21","3,917.28","3,905.65","4,041.31",
Interest on Balance with RBI and Other Inter-Bank funds,241.24,112.17,80.52,23.19,8.27,
Others,142.07,183.50,234.96,193.79,157.48,
Total Interest Earned,"17,172.68","15,967.86","15,867.31","11,948.17","8,930.00",
Other Income,"3,222.04","2,253.70","1,722.16",938.56,"1,117.89",
Total Income,"20,394.72","18,221.56","17,589.47","12,886.74","10,047.90",
EXPENDITURE,,,,,,
Interest Expended,"7,466.52","8,587.60","10,232.00","8,749.08","7,131.91",
Payments to and Provisions for Employees,"2,696.54","1,976.98","1,527.58","1,118.19",675.97,
Depreciation,373.26,329.38,305.44,"2,812.68",163.48,
Operating Expenses (excludes Employee Cost & Depreciation),"6,574.65","4,786.93","3,587.71","1,955.87",813.13,
Total Operating Expenses,"9,644.45","7,093.28","5,420.73","5,886.73","1,652.59",
Provision Towards Income Tax,29.68,23.50,-12.31,-89.01,-12.57,
Provision Towards Deferred Tax,0.00,0.00,498.00,-126.20,180.57,
Other Provisions and Contingencies,"3,108.58","2,064.90","4,315.26",410.31,236.09,
Total Provisions and Contingencies,"3,138.26","2,088.40","4,800.95",195.10,404.09,
Total Expenditure,"20,249.23","17,769.28","20,453.68","14,830.92","9,188.59",
Net Profit / Loss for The Year,145.49,452.28,"-2,864.21","-1,944.18",859.30,
Net Profit / Loss After EI & Prior Year Items,145.49,452.28,"-2,864.21","-1,944.18",859.30,
Profit / Loss Brought Forward,"-3,728.98","-3,560.26",-530.05,"1,709.67","1,646.59",
Total Profit / Loss available for Appropriations,"-3,583.49","-3,107.98","-3,394.26",-234.51,"2,505.89",
APPROPRIATIONS,,,,,,
Transfer To / From Statutory Reserve,36.50,113.50,0.00,0.00,215.00,
Transfer To / From Capital Reserve,45.00,148.50,166.00,1.51,202.00,
Transfer To / From Revenue And Other Reserves,0.00,0.00,0.00,0.00,0.00,
Dividend and Dividend Tax for The Previous Year,0.00,0.00,0.00,0.00,0.00,
Equity Share Dividend,0.00,0.00,0.00,294.02,304.78,
Tax On Dividend,0.00,0.00,0.00,0.00,0.00,
Balance Carried Over To Balance Sheet,"-3,870.49","-3,728.98","-3,560.26",-530.05,"1,709.67",
Total Appropriations,"-3,583.49","-3,107.98","-3,394.26",-234.51,"2,505.89",
OTHER INFORMATION,,,,,,
EARNINGS PER SHARE,,,,,,
Basic EPS (Rs.),0.23,0.82,-5.98,-4.75,2.53,
Diluted EPS (Rs.),0.23,0.81,-5.91,-4.71,2.52,
DIVIDEND PERCENTAGE,,,,,,
Equity Dividend Rate (%),0.00,0.00,0.00,0.00,8.00,
Yearly Results of IDFC First Bank (in Rs. Cr.),Mar '22,Mar '21,Mar '20,Mar '19,Mar '18,
Interest Earned,,,,,,
(a) Int. /Disc. on Adv/Bills,"14,174.01","12,632.98","11,634.54","7,825.54","4,722.95",
(b) Income on Investment,"2,615.37","3,039.21","3,917.28","3,905.65","4,041.31",
(c) Int. on balances With RBI,241.24,112.17,80.52,23.19,8.27,
(d) Others,142.06,183.50,234.96,193.79,157.48,
Other Income,"3,222.04","2,253.70","1,722.16",938.56,"1,117.89",
EXPENDITURE,,,,,,
Interest Expended,"7,466.52","8,587.60","10,232.00","8,749.08","7,131.91",
Employees Cost,"2,696.54","1,976.98","1,527.58","1,118.19",675.97,
Other Expenses,"6,947.91","5,116.31","3,893.15","1,955.87",813.13,
