Profit & Loss account of IndusInd Bank (in Rs. Cr.),Mar 22,Mar 21,Mar 20,Mar 19,Mar 18,
,12 mths,12 mths,12 mths,12 mths,12 mths,
INCOME,,,,,,
Interest / Discount on Advances / Bills,"25,143.44","24,085.35","24,008.25","18,256.68","13,699.91",
Income from Investments,"4,052.88","3,846.11","4,282.19","3,677.34","3,074.38",
Interest on Balance with RBI and Other Inter-Bank funds,"1,288.36",677.37,192.02,102.03,321.48,
Others,337.76,390.97,300.37,225.10,184.99,
Total Interest Earned,"30,822.44","28,999.80","28,782.83","22,261.15","17,280.75",
Other Income,"7,397.05","6,558.61","6,951.31","5,646.72","4,750.10",
Total Income,"38,219.49","35,558.41","35,734.14","27,907.87","22,030.85",
EXPENDITURE,,,,,,
Interest Expended,"15,821.60","15,471.90","16,724.09","13,414.97","9,783.30",
Payments to and Provisions for Employees,"2,488.34","2,213.51","2,208.48","1,853.51","1,780.69",
Depreciation,321.21,305.41,277.97,228.85,211.64,
Operating Expenses (excludes Employee Cost & Depreciation),"6,749.74","5,840.92","5,750.90","4,322.32","3,599.11",
Total Operating Expenses,"9,559.29","8,359.83","8,237.35","6,404.68","5,591.44",
Provision Towards Income Tax,"1,562.53",165.37,"1,953.21","1,972.76","1,900.02",
Provision Towards Deferred Tax,0.00,-70.59,-250.51,-293.29,-25.33,
Other Provisions and Contingencies,"6,664.95","8,795.51","4,652.10","3,107.65","1,175.43",
Total Provisions and Contingencies,"8,227.48","8,890.28","6,354.80","4,787.12","3,050.12",
Total Expenditure,"33,608.36","32,722.02","31,316.23","24,606.77","18,424.86",
Net Profit / Loss for The Year,"4,611.12","2,836.39","4,417.91","3,301.10","3,605.99",
Net Profit / Loss After EI & Prior Year Items,"4,611.12","2,836.39","4,417.91","3,301.10","3,605.99",
Profit / Loss Brought Forward,"15,928.61","13,483.66","11,106.94","9,311.49","7,118.38",
Total Profit / Loss available for Appropriations,"20,539.73","16,320.05","15,968.18","12,612.59","10,724.37",
APPROPRIATIONS,,,,,,
Transfer To / From Statutory Reserve,"1,152.78",709.10,"1,104.48",825.27,901.50,
Transfer To / From Capital Reserve,76.81,130.01,164.13,39.53,7.62,
Transfer To / From Revenue And Other Reserves,0.00,-480.44,426.14,-17.22,0.00,
Dividend and Dividend Tax for The Previous Year,0.00,0.00,626.52,0.00,71.52,
Equity Share Dividend,386.99,0.00,0.00,452.02,432.24,
Tax On Dividend,0.00,0.00,0.00,90.92,0.00,
Balance Carried Over To Balance Sheet,"18,923.15","15,928.61","13,483.66","11,106.94","9,311.49",
Total Appropriations,"20,539.73","16,320.05","15,968.18","12,612.59","10,724.37",
OTHER INFORMATION,,,,,,
EARNINGS PER SHARE,,,,,,
Basic EPS (Rs.),59.57,38.75,63.75,54.90,60.19,
Diluted EPS (Rs.),59.47,38.68,63.52,54.46,59.57,
DIVIDEND PERCENTAGE,,,,,,
Equity Dividend Rate (%),85.00,50.00,0.00,75.00,75.00,
Yearly Results of IndusInd Bank (in Rs. Cr.),Mar '22,Mar '21,Mar '20,Mar '19,Mar '18,
Interest Earned,,,,,,
(a) Int. /Disc. on Adv/Bills,"25,143.44","24,085.35","24,008.25","18,256.68","13,699.91",
(b) Income on Investment,"4,052.88","3,846.11","4,282.19","3,677.34","3,074.38",
(c) Int. on balances With RBI,"1,288.36",677.37,192.02,102.03,321.47,
(d) Others,337.76,390.97,300.37,225.10,184.99,
Other Income,"7,397.05","6,558.61","6,951.31","5,646.72","4,750.10",
EXPENDITURE,,,,,,
Interest Expended,"15,821.60","15,471.91","16,724.09","13,414.97","9,783.30",
Employees Cost,"2,488.34","2,213.51","2,208.48","1,853.51","1,780.69",
