Profit & Loss account of Punjab National Bank (in Rs. Cr.),Mar 22,Mar 21,Mar 20,Mar 19,Mar 18,
,12 mths,12 mths,12 mths,12 mths,12 mths,
INCOME,,,,,,
Interest / Discount on Advances / Bills,"48,498.31","53,351.20","35,814.96","35,086.21","31,833.08",
Income from Investments,"23,487.18","24,565.82","15,332.60","14,105.97","13,946.98",
Interest on Balance with RBI and Other Inter-Bank funds,"2,285.54","1,898.62","2,510.22","1,891.39","2,001.42",
Others,608.52,934.12,142.25,226.68,214.28,
Total Interest Earned,"74,879.54","80,749.77","53,800.03","51,310.25","47,995.77",
Other Income,"12,319.96","12,811.85","9,274.13","7,377.41","8,880.87",
Total Income,"87,199.49","93,561.62","63,074.16","58,687.66","56,876.64",
EXPENDITURE,,,,,,
Interest Expended,"46,185.08","50,272.79","36,362.24","34,153.94","33,073.36",
Payments to and Provisions for Employees,"11,841.01","12,175.74","6,961.68","6,963.16","9,168.80",
Depreciation,888.61,974.92,607.68,578.02,576.17,
Operating Expenses (excludes Employee Cost & Depreciation),"7,522.98","7,158.09","4,404.01","3,997.29","3,764.11",
Total Operating Expenses,"20,252.60","20,308.75","11,973.37","11,538.47","13,509.07",
Provision Towards Income Tax,859.43,"1,457.78",402.79,17.15,"-7,292.26",
Provision Towards Deferred Tax,0.00,0.00,0.00,"-5,387.42",0.00,
Other Provisions and Contingencies,"16,445.43","19,500.68","13,999.56","28,341.01",0.00,
Total Provisions and Contingencies,"17,304.86","20,958.46","14,402.35","22,970.74","22,577.02",
Total Expenditure,"83,742.53","91,540.00","62,737.97","68,663.15","69,159.46",
Net Profit / Loss for The Year,"3,456.96","2,021.62",336.19,"-9,975.49","-12,282.82",
Net Profit / Loss After EI & Prior Year Items,"3,456.96","2,021.62",336.19,"-9,975.49","-12,282.82",
Profit / Loss Brought Forward,0.00,0.00,0.00,0.00,0.00,
Total Profit / Loss available for Appropriations,"3,456.96","2,021.62",336.19,"-9,975.49","-12,282.82",
APPROPRIATIONS,,,,,,
Transfer To / From Statutory Reserve,864.24,505.40,84.05,0.00,0.00,
Transfer To / From Capital Reserve,700.93,"1,036.12",203.63,86.13,"1,024.93",
Transfer To / From Revenue And Other Reserves,216.41,0.00,0.00,-134.32,"-13,307.75",
Dividend and Dividend Tax for The Previous Year,0.00,0.00,0.00,0.00,0.00,
Equity Share Dividend,704.71,0.00,0.00,0.00,0.00,
Tax On Dividend,0.00,0.00,0.00,0.00,0.00,
Balance Carried Over To Balance Sheet,0.00,0.00,0.00,"-9,927.30",0.00,
Total Appropriations,"3,456.96","2,021.62",336.19,"-9,975.49","-12,282.82",
OTHER INFORMATION,,,,,,
EARNINGS PER SHARE,,,,,,
Basic EPS (Rs.),3.16,2.08,0.62,-30.94,-55.39,
Diluted EPS (Rs.),3.16,2.08,0.62,-30.94,-55.39,
DIVIDEND PERCENTAGE,,,,,,
Equity Dividend Rate (%),32.00,0.00,0.00,0.00,0.00,
Yearly Results of Punjab National Bank (in Rs. Cr.),Mar '22,Mar '21,Mar '20,Mar '19,Mar '18,
Interest Earned,,,,,,
(a) Int. /Disc. on Adv/Bills,"48,498.31","53,351.20","35,814.96","35,086.21","31,833.08",
(b) Income on Investment,"23,487.17","24,565.82","15,332.60","14,105.97","13,946.98",
(c) Int. on balances With RBI,"2,285.53","1,898.62","2,510.22","1,891.39","2,001.42",
(d) Others,608.52,934.13,142.25,226.68,214.28,
Other Income,"12,319.96","12,811.85","9,274.13","7,377.41","8,880.87",
EXPENDITURE,,,,,,
Interest Expended,"46,185.08","50,272.79","36,362.24","34,153.94","33,073.36",
Employees Cost,"11,841.01","12,175.74","6,961.68","6,963.16","9,168.80",
