Profit & Loss account of Canara Bank (in Rs. Cr.),Mar 22,Mar 21,Mar 20,Mar 19,Mar 18,,Mar 17,Mar 16,Mar 15,Mar 14,Mar 13,
INCOME,,,,,,,,,,,,
Interest / Discount on Advances / Bills,"49,862.11","50,405.00","36,075.88","34,319.28","29,096.44",,"29,585.67","31,377.25","32,066.12","28,457.33","24,379.91",
Income from Investments,"16,972.27","16,859.20","11,335.88","10,937.51","10,412.10",,"10,711.29","11,407.79","10,923.75","10,251.08","9,112.42",
Interest on Balance with RBI and Other Inter-Bank funds,"2,155.12","1,851.53","1,400.27",828.01,646.99,,768.20,879.50,759.79,730.82,585.23,
Others,420.75,124.06,122.97,725.54,"1,096.56",,322.49,357.60,0.38,108.39,0.38,
Total Interest Earned,"69,410.24","69,239.78","48,934.99","46,810.34","41,252.09",,"41,387.64","44,022.14","43,750.04","39,547.61","34,077.94",
Other Income,"16,496.90","15,285.29","7,813.15","6,574.96","6,942.85",,"7,554.40","4,875.23","4,550.25","3,932.76","3,153.01",
Total Income,"85,907.14","84,525.08","56,748.14","53,385.30","48,194.94",,"48,942.04","48,897.36","48,300.29","43,480.37","37,230.94",
EXPENDITURE,,,,,,,,,,,,
Interest Expended,"43,026.26","45,177.62","35,811.08","32,332.22","29,088.76",,"31,515.87","34,258.77","34,086.37","30,603.17","26,198.94",
Payments to and Provisions for Employees,"12,703.64","12,689.96","7,134.18","5,675.11","5,444.11",,"4,915.09","4,445.88","4,274.26","3,672.38","3,253.56",
Depreciation,815.58,820.17,432.16,416.84,445.05,,327.54,169.96,427.06,228.47,189.69,
Operating Expenses (excludes Employee Cost & Depreciation),"6,272.68","5,828.06","4,010.89","4,370.26","3,668.78",,"3,269.65","2,876.09","2,562.23","2,180.16","1,698.74",
Total Operating Expenses,"19,791.91","19,338.18","11,577.23","10,462.21","9,557.94",,"8,512.28","7,491.93","7,263.55","6,081.01","5,141.99",
