Profit & Loss account of IDBI Bank (in Rs. Cr.),Mar 22,Mar 21,Mar 20,Mar 19,Mar 18,,Mar 17,Mar 16,Mar 15,Mar 14,Mar 13,
INCOME,,,,,,,,,,,,
Interest / Discount on Advances / Bills,"12,031.98","11,821.17","13,101.51","14,380.90","15,693.55",,"19,310.33","20,772.25","20,829.77","20,257.32","19,549.29",
Income from Investments,"4,629.01","5,160.62","5,780.64","6,443.22","5,899.23",,"6,574.71","5,941.08","7,209.80","6,074.72","5,335.15",
Interest on Balance with RBI and Other Inter-Bank funds,669.96,644.32,453.55,189.37,232.84,,456.85,47.07,69.35,103.34,156.12,
Others,964.34,"2,305.65","1,489.44","1,057.75","1,200.91",,"1,449.48","1,282.70",45.07,162.13,23.75,
Total Interest Earned,"18,295.30","19,931.76","20,825.14","22,071.24","23,026.53",,"27,791.37","28,043.10","28,153.99","26,597.51","25,064.30",
Other Income,"4,689.90","4,625.18","4,470.33","3,300.30","7,008.88",,"3,967.60","3,410.36","4,007.63","2,978.75","3,219.51",
Total Income,"22,985.19","24,556.93","25,295.48","25,371.53","30,035.41",,"31,758.97","31,453.46","32,161.62","29,576.27","28,283.81",
EXPENDITURE,,,,,,,,,,,,
Interest Expended,"9,132.80","11,414.21","13,847.30","16,165.62","17,386.21",,"22,039.71","21,953.81","22,406.10","20,576.04","19,691.19",
Payments to and Provisions for Employees,"3,105.09","3,089.02","3,230.93","2,191.20","1,781.08",,"2,203.59","1,674.05","1,926.36","1,491.61","1,538.50",
Depreciation,413.28,392.93,390.68,366.44,372.73,,358.94,214.18,136.95,113.17,124.12,
Operating Expenses (excludes Employee Cost & Depreciation),"2,838.86","2,570.00","2,714.55","2,596.15","2,590.88",,"2,578.28","2,241.36","1,964.11","1,714.06","1,471.75",
Total Operating Expenses,"6,357.23","6,051.95","6,336.16","5,153.79","4,744.69",,"5,140.81","4,129.58","4,027.42","3,318.84","3,134.36",
Provision Towards Income Tax,47.00,0.00,0.00,0.00,0.00,,203.93,4.25,"1,045.60","1,169.45","1,518.51",
Provision Towards Deferred Tax,"1,122.00","1,308.68","3,919.90","-7,710.87","-4,354.61",,"-3,663.81","-1,310.20",-631.65,-549.72,-778.82,
Other Provisions and Contingencies,"3,886.89","4,422.64","14,079.44","26,879.29",0.00,,0.00,0.00,0.00,0.00,0.00,
Total Provisions and Contingencies,"5,055.89","5,731.32","17,999.34","19,168.42","16,142.44",,"9,736.59","9,034.87","4,854.72","4,559.99","3,576.17",
Total Expenditure,"20,545.92","23,197.47","38,182.81","40,487.83","38,273.33",,"36,917.11","35,118.26","31,288.24","28,454.87","26,401.72",
Net Profit / Loss for The Year,"2,439.27","1,359.46","-12,887.33","-15,116.29","-8,237.92",,"-5,158.14","-3,664.80",873.39,"1,121.40","1,882.08",
Net Profit / Loss After EI & Prior Year Items,"2,439.27","1,359.46","-12,887.33","-15,116.29","-8,237.92",,"-5,158.14","-3,664.80",873.39,"1,121.40","1,882.08",
Profit / Loss Brought Forward,"-45,396.18","-45,586.17","-32,512.93","-17,164.01","-8,492.39",,"-2,827.28",912.19,896.77,903.86,672.65,
Total Profit / Loss available for Appropriations,"-42,956.91","-44,226.70","-45,400.26","-32,280.30","-16,730.31",,"-7,985.42","-2,752.61","1,770.16","2,025.26","2,554.73",
APPROPRIATIONS,,,,,,,,,,,,
Transfer To / From Statutory Reserve,609.82,339.87,0.00,0.00,-544.60,,0.00,0.00,218.35,281.00,470.83,
Transfer To / From Capital Reserve,157.40,285.00,185.91,232.62,978.30,,506.97,74.66,229.07,9.32,191.82,
Transfer To / From Revenue And Other Reserves,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.01,0.01,0.01,
Dividend and Dividend Tax for The Previous Year,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,
Equity Share Dividend,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,120.30,160.40,466.46,
Tax On Dividend,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,25.25,27.77,71.75,
Balance Carried Over To Balance Sheet,"-43,724.13","-45,396.18","-45,586.17","-32,512.93","-17,164.01",,"-8,492.39","-2,827.28",912.19,896.77,903.86,
