,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Share Capital,393,412,423,431,444,462,462,530,530,925,"1,036","1,036"
Reserves,"21,434","28,104","32,859","37,416","41,574","42,041","42,605","46,036","54,466","75,179","81,354","90,833"
Borrowings,"333,982","416,214","509,192","616,973","665,483","620,536","648,499","672,311","734,456","1,068,981","1,067,173","1,185,331"
Other Liabilities,"10,399","12,670","16,914","21,284","26,465","28,134","27,649","28,919","30,217","54,850","53,104","62,922"
Total Liabilities,"366,208","457,400","559,387","676,104","733,966","691,173","719,216","747,796","819,670","1,199,935","1,202,667","1,340,121"
Fixed Assets,"2,383","2,428","2,550","2,849","2,978","6,359","5,930","5,532","7,368","9,268","8,438","11,098"
CWIP,0,0,0,0,0,0,0,0,0,0,2,1
Investments,"74,154","86,697","125,617","122,113","124,739","128,894","140,716","175,137","195,716","289,727","281,859","347,587"
Other Assets,"289,670","368,275","431,220","551,142","606,248","555,920","572,570","567,126","616,586","900,941","912,367","981,435"
Total Assets,"366,208","457,400","559,387","676,104","733,966","691,173","719,216","747,796","819,670","1,199,935","1,202,667","1,340,121"
