,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Share Capital,"1,152","1,153","1,154","1,155","1,160","1,163","1,165","1,286","1,289","1,295","1,383","1,390"
Reserves,"54,151","60,124","67,609","75,275","83,545","92,948","103,467","109,344","112,964","121,665","156,204","180,663"
Borrowings,"384,945","443,247","487,659","543,055","597,207","671,455","700,874","815,198","891,641","1,014,636","1,103,840","1,252,968"
Other Liabilities,"93,521","114,763","118,401","128,278","144,167","153,190","180,219","198,453","232,899","239,696","312,385","317,616"
Total Liabilities,"533,768","619,287","674,822","747,762","826,079","918,756","985,725","1,124,281","1,238,794","1,377,292","1,573,812","1,752,637"
Fixed Assets,"5,490","5,432","5,473","5,507","5,871","8,713","9,338","9,465","9,660","10,409","10,917","10,707"
CWIP,0,0,0,0,0,0,0,0,0,0,0,0
Investments,"209,653","239,864","255,667","267,609","274,311","286,044","304,373","372,208","398,201","443,473","536,579","567,098"
Other Assets,"318,626","373,991","413,682","474,646","545,897","623,999","672,013","742,608","830,933","923,411","1,026,317","1,174,833"
Total Assets,"533,768","619,287","674,822","747,762","826,079","918,756","985,725","1,124,281","1,238,794","1,377,292","1,573,812","1,752,637"
