,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Share Capital,"3,399","3,404","4,782","4,810","5,676","6,218"
Reserves,"11,278","11,870","13,418","10,594","12,224","14,864"
Borrowings,"90,360","105,327","140,337","122,476","134,322","158,502"
Other Liabilities,"7,027","5,781","8,563","11,279","10,849","10,561"
Total Liabilities,"112,064","126,382","167,099","149,159","163,072","190,146"
Fixed Assets,933,797,940,999,"1,370","1,448"
CWIP,6,3,34,74,65,79
Investments,"50,164","60,904","58,245","45,174","45,182","45,935"
Other Assets,"60,962","64,677","107,880","102,911","116,454","142,684"
Total Assets,"112,064","126,382","167,099","149,159","163,072","190,146"
