,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Share Capital,368,370,373,385,386,917,920,953,"1,454","1,457","1,491","1,492"
Reserves,"10,631","12,566","14,894","18,699","21,770","32,447","37,572","49,535","56,827","65,680","83,348","95,673"
Borrowings,"49,386","65,655","85,561","85,937","104,258","179,679","205,230","249,840","291,263","325,977","326,610","365,235"
Other Liabilities,"13,271","13,731","15,006","17,176","22,049","27,761","32,465","37,392","46,126","50,559","67,905","84,597"
Total Liabilities,"73,657","92,323","115,835","122,197","148,464","240,804","276,188","337,720","395,171","443,173","478,854","546,498"
Fixed Assets,600,615,620,"1,264","1,385","1,761","1,759","2,543","2,697","2,675","2,554","2,723"
CWIP,0,0,0,0,0,0,0,0,0,0,0,0
Investments,"26,049","31,658","40,907","38,791","45,589","70,274","68,462","90,977","103,487","111,197","156,946","164,529"
Other Assets,"47,008","60,049","74,308","82,142","101,490","168,769","205,967","244,201","288,987","329,301","319,355","379,245"
Total Assets,"73,657","92,323","115,835","122,197","148,464","240,804","276,188","337,720","395,171","443,173","478,854","546,498"
