,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Share Capital,375,420,427,509,598,600
Reserves,"3,961","6,261","7,108","10,056","12,068","11,931"
Borrowings,"42,568","53,145","70,190","74,819","84,281","90,104"
Other Liabilities,"1,771","2,052","2,673","3,600","3,672","3,528"
Total Liabilities,"48,676","61,877","80,398","88,983","100,619","106,163"
Fixed Assets,224,327,416,471,511,538
CWIP,35,31,40,62,24,82
Investments,"13,482","15,397","16,745","18,055","23,085","22,129"
Other Assets,"34,934","46,122","63,196","70,396","76,998","83,414"
Total Assets,"48,676","61,877","80,398","88,983","100,619","106,163"
